sign_class,xtl,ytl,xbr,ybr,temporary,occluded,data,filename
5.14,1354,978,1362,989,False,False,,1518531552388000_4829463000.jpg
8.14,1277,932,1286,937,False,False,,1518531552388000_4829463000.jpg
3.1,625,1011,639,1024,False,False,,1518531553255000_4830329000.jpg
5.15.2,1123,882,1143,903,False,False,,1518531553255000_4830329000.jpg
3.1,1372,936,1382,944,False,False,,1518531553255000_4830329000.jpg
5.15.2,1216,878,1236,899,False,False,,1518531553255000_4830329000.jpg
5.14,1318,869,1338,890,False,False,,1518531553255000_4830329000.jpg
5.15.2,1446,853,1467,876,False,False,,1518531553255000_4830329000.jpg
5.15.2,1515,509,1589,585,False,False,,1518531553255000_4830329000.jpg
5.14,1139,563,1212,636,False,False,,1518531553255000_4830329000.jpg
5.15.2,844,596,915,666,False,False,,1518531553255000_4830329000.jpg
5.15.2,558,612,625,681,False,False,,1518531553255000_4830329000.jpg
5.14,1452,994,1464,1006,False,False,,1518531553255000_4830329000.jpg
8.14,1372,947,1382,952,False,False,,1518531553255000_4830329000.jpg
3.1,610,1001,624,1016,False,False,,1518531554388000_4831463000.jpg
3.1,1420,928,1429,936,False,False,,1518531554388000_4831463000.jpg
5.15.2,1152,858,1176,883,False,False,,1518531554388000_4831463000.jpg
5.15.2,1257,854,1280,879,False,False,,1518531554388000_4831463000.jpg
5.14,1372,846,1395,870,False,False,,1518531554388000_4831463000.jpg
5.15.2,1515,826,1540,853,False,False,,1518531554388000_4831463000.jpg
5.15.2,279,399,378,501,False,False,,1518531554388000_4831463000.jpg
5.15.2,704,372,806,480,False,False,,1518531554388000_4831463000.jpg
5.14,1148,321,1255,429,False,False,,1518531554388000_4831463000.jpg
5.15.2,1722,236,1835,350,False,False,,1518531554388000_4831463000.jpg
5.14,1505,990,1514,1000,False,False,,1518531554388000_4831463000.jpg
8.14,1420,940,1429,945,False,False,,1518531554388000_4831463000.jpg
3.1,526,990,542,1006,False,False,,1518531555355000_4832429000.jpg
5.15.2,1123,833,1149,860,False,False,,1518531555355000_4832429000.jpg
5.15.2,1241,829,1268,857,False,False,,1518531555355000_4832429000.jpg
5.14,1370,820,1398,848,False,False,,1518531555355000_4832429000.jpg
5.14,1533,799,1563,831,False,False,,1518531555355000_4832429000.jpg
5.14,1500,987,1509,997,False,False,,1518531555355000_4832429000.jpg
3.1,1409,921,1418,929,False,False,,1518531555355000_4832429000.jpg
8.14,1408,933,1419,939,False,False,,1518531555355000_4832429000.jpg
3.1,400,989,417,1008,False,False,,1518531556254000_4833329000.jpg
5.14,1473,983,1480,996,False,True,,1518531556254000_4833329000.jpg
5.16,1460,976,1465,985,False,False,,1518531556254000_4833329000.jpg
3.1,1374,916,1383,926,False,False,,1518531556254000_4833329000.jpg
8.14,1374,929,1384,935,False,False,,1518531556254000_4833329000.jpg
5.15.2,1531,769,1563,804,False,False,,1518531556254000_4833329000.jpg
5.14,1345,792,1377,825,False,False,,1518531556254000_4833329000.jpg
5.15.2,1197,803,1227,835,False,False,,1518531556254000_4833329000.jpg
5.15.2,1060,808,1091,839,False,False,,1518531556254000_4833329000.jpg
6.7,1460,986,1467,993,False,False,,1518531556254000_4833329000.jpg
3.1,793,986,800,997,False,False,,1518531556254000_4833329000.jpg
5.14,1425,967,1434,980,False,True,,1518531557321000_4834395000.jpg
5.16,1408,959,1414,968,False,False,,1518531557321000_4834395000.jpg
3.1,1319,896,1328,906,False,False,,1518531557321000_4834395000.jpg
8.14,1319,909,1330,916,False,False,,1518531557321000_4834395000.jpg
5.14,1299,728,1339,769,False,False,,1518531557321000_4834395000.jpg
5.15.2,1525,701,1564,742,False,False,,1518531557321000_4834395000.jpg
5.15.2,951,748,989,788,False,False,,1518531557321000_4834395000.jpg
5.15.2,1117,742,1156,782,False,False,,1518531557321000_4834395000.jpg
6.7,1407,969,1415,979,False,False,,1518531557321000_4834395000.jpg
5.15.2,786,671,835,724,False,False,,1518531558487000_4835562000.jpg
5.15.2,1007,663,1057,716,False,False,,1518531558487000_4835562000.jpg
5.14,1247,645,1299,699,False,False,,1518531558487000_4835562000.jpg
5.15.2,1546,609,1602,666,False,False,,1518531558487000_4835562000.jpg
3.1,1261,894,1271,905,False,False,,1518531558487000_4835562000.jpg
8.14,1262,908,1272,916,False,False,,1518531558487000_4835562000.jpg
5.14,1378,969,1387,983,False,True,,1518531558487000_4835562000.jpg
5.16,1355,962,1362,972,False,False,,1518531558487000_4835562000.jpg
6.7,1354,973,1363,984,False,False,,1518531558487000_4835562000.jpg
5.15.2,501,524,594,616,False,False,,1518531559621000_4836695000.jpg
5.15.2,836,510,924,601,False,False,,1518531559621000_4836695000.jpg
5.14,1200,485,1286,573,False,False,,1518531559621000_4836695000.jpg
5.15.2,1652,430,1746,520,False,False,,1518531559621000_4836695000.jpg
3.1,1231,911,1243,922,False,False,,1518531559621000_4836695000.jpg
8.14,1231,927,1244,933,False,False,,1518531559621000_4836695000.jpg
3.1,475,1003,483,1014,False,False,,1518531559621000_4836695000.jpg
5.14,1361,991,1369,1005,False,True,,1518531559621000_4836695000.jpg
5.16,1333,984,1338,994,False,True,,1518531559621000_4836695000.jpg
6.7,1332,995,1339,1003,False,True,,1518531559621000_4836695000.jpg
3.1,1279,879,1292,892,False,False,,1518531560554000_4837628000.jpg
8.14,1280,897,1292,904,False,False,,1518531560554000_4837628000.jpg
5.14,1249,1,1407,143,False,False,,1518531560554000_4837628000.jpg
5.15.2,2117,1,2279,46,False,False,,1518531560554000_4837628000.jpg
5.15.2,553,21,722,196,False,False,,1518531560554000_4837628000.jpg
5.15.2,2,46,92,218,False,False,,1518531560554000_4837628000.jpg
3.1,450,974,457,987,False,False,,1518531560554000_4837628000.jpg
5.14,1423,966,1432,982,False,True,,1518531560554000_4837628000.jpg
3.1,331,981,340,995,False,False,,1518531561487000_4838561000.jpg
3.1,1264,882,1278,896,False,False,,1518531561487000_4838561000.jpg
8.14,1265,901,1278,909,False,False,,1518531561487000_4838561000.jpg
5.14,1418,977,1435,993,False,True,,1518531561487000_4838561000.jpg
6.7,1374,983,1386,993,False,True,,1518531561487000_4838561000.jpg
6.7,1551,991,1556,999,False,False,,1518531561487000_4838561000.jpg
3.1,126,967,138,985,False,False,,1518531562620000_4839695000.jpg
3.1,1234,859,1250,876,False,False,,1518531562620000_4839695000.jpg
8.14,1235,882,1252,890,False,False,,1518531562620000_4839695000.jpg
5.14,1415,965,1436,985,False,True,,1518531562620000_4839695000.jpg
5.16,1357,962,1362,974,False,True,,1518531562620000_4839695000.jpg
6.7,1356,975,1361,988,False,True,,1518531562620000_4839695000.jpg
5.16,878,975,886,984,False,True,,1518531562620000_4839695000.jpg
6.7,1544,984,1550,992,False,False,,1518531562620000_4839695000.jpg
3.1,1235,827,1253,846,False,False,,1518531563753000_4840828000.jpg
8.14,1235,852,1254,862,False,False,,1518531563753000_4840828000.jpg
5.14,1451,945,1476,969,False,True,,1518531563753000_4840828000.jpg
5.16,1371,946,1382,960,False,False,,1518531563753000_4840828000.jpg
6.7,1370,961,1382,974,False,False,,1518531563753000_4840828000.jpg
5.2,393,985,400,999,False,False,,1518531563753000_4840828000.jpg
5.16,854,962,862,973,False,False,,1518531563753000_4840828000.jpg
6.7,1572,970,1579,977,False,False,,1518531563753000_4840828000.jpg
5.2,337,991,345,1005,False,False,,1518531564653000_4841728000.jpg
5.14,1526,941,1548,969,False,True,,1518531564653000_4841728000.jpg
5.16,1415,947,1424,961,False,False,,1518531564653000_4841728000.jpg
8.14,1268,840,1289,850,False,False,,1518531564653000_4841728000.jpg
3.1,1266,810,1288,832,False,False,,1518531564653000_4841728000.jpg
6.7,1414,963,1427,976,False,False,,1518531564653000_4841728000.jpg
5.16,863,966,871,980,False,False,,1518531564653000_4841728000.jpg
6.7,1629,974,1636,982,False,False,,1518531564653000_4841728000.jpg
5.2,215,998,226,1014,False,False,,1518531565686000_4842761000.jpg
3.1,1277,794,1299,818,False,False,,1518531565686000_4842761000.jpg
8.14,1276,826,1302,839,False,False,,1518531565686000_4842761000.jpg
6.7,1436,972,1452,989,False,False,,1518531565686000_4842761000.jpg
5.16,1437,955,1449,971,False,False,,1518531565686000_4842761000.jpg
5.14,1606,939,1643,977,False,False,,1518531565686000_4842761000.jpg
6.7,1670,985,1676,995,False,False,,1518531565686000_4842761000.jpg
5.16,839,976,848,989,False,False,,1518531565686000_4842761000.jpg
5.2,62,991,74,1008,False,False,,1518531566553000_4843627000.jpg
5.16,798,968,806,979,False,False,,1518531566553000_4843627000.jpg
3.1,1267,753,1295,782,False,False,,1518531566553000_4843627000.jpg
8.14,1268,792,1297,806,False,False,,1518531566553000_4843627000.jpg
6.7,1443,964,1458,980,False,False,,1518531566553000_4843627000.jpg
5.16,1444,945,1456,962,False,False,,1518531566553000_4843627000.jpg
5.14,1695,915,1744,964,False,False,,1518531566553000_4843627000.jpg
6.7,1689,978,1699,989,False,False,,1518531566553000_4843627000.jpg
5.16,751,988,760,1000,False,False,,1518531567553000_4844627000.jpg
3.1,1261,719,1297,754,False,False,,1518531567553000_4844627000.jpg
8.14,1263,766,1299,784,False,False,,1518531567553000_4844627000.jpg
3.1,1224,955,1232,961,False,True,,1518531567553000_4844627000.jpg
8.14,1225,963,1233,967,False,False,,1518531567553000_4844627000.jpg
5.14,1912,894,1986,970,False,False,,1518531567553000_4844627000.jpg
5.14,1282,994,1290,1004,False,False,,1518531567553000_4844627000.jpg
6.7,1458,981,1477,1001,False,False,,1518531567553000_4844627000.jpg
5.16,1461,959,1474,978,False,False,,1518531567553000_4844627000.jpg
6.7,1729,999,1736,1008,False,False,,1518531567553000_4844627000.jpg
5.16,705,973,716,988,False,False,,1518531568386000_4845460000.jpg
3.1,1257,629,1302,674,False,False,,1518531568386000_4845460000.jpg
8.14,1259,690,1303,710,False,False,,1518531568386000_4845460000.jpg
3.1,1216,936,1225,945,False,False,,1518531568386000_4845460000.jpg
8.14,1217,946,1224,950,False,False,,1518531568386000_4845460000.jpg
5.14,1275,978,1285,989,False,False,,1518531568386000_4845460000.jpg
5.16,1487,936,1497,958,False,True,,1518531568386000_4845460000.jpg
6.7,1487,961,1500,985,False,True,,1518531568386000_4845460000.jpg
5.14,2395,789,2448,921,False,True,,1518531568386000_4845460000.jpg
3.1,1293,448,1361,514,False,False,,1518531569486000_4846560000.jpg
8.14,1298,537,1363,569,False,False,,1518531569486000_4846560000.jpg
5.16,670,969,680,984,False,False,,1518531569486000_4846560000.jpg
5.14,1298,976,1310,988,False,False,,1518531569486000_4846560000.jpg
5.16,1557,923,1569,949,False,True,,1518531569486000_4846560000.jpg
6.7,1556,953,1570,980,False,True,,1518531569486000_4846560000.jpg
3.1,1235,932,1244,940,False,False,,1518531569486000_4846560000.jpg
8.14,1234,942,1244,946,False,False,,1518531569486000_4846560000.jpg
6.7,1872,978,1883,995,False,True,,1518531569486000_4846560000.jpg
5.16,602,972,612,987,False,False,,1518531570552000_4847627000.jpg
8.14,1352,125,1478,187,False,False,,1518531570552000_4847627000.jpg
3.1,1343,1,1474,86,False,True,,1518531570552000_4847627000.jpg
6.7,1634,948,1667,982,False,True,,1518531570552000_4847627000.jpg
5.16,1638,910,1660,944,False,True,,1518531570552000_4847627000.jpg
5.14,1303,981,1314,992,False,False,,1518531570552000_4847627000.jpg
3.1,1233,932,1243,942,False,False,,1518531570552000_4847627000.jpg
8.14,1232,944,1243,948,False,False,,1518531570552000_4847627000.jpg
6.7,1984,982,1995,1001,False,False,,1518531570552000_4847627000.jpg
5.16,533,967,544,985,False,False,,1518531571652000_4848727000.jpg
5.16,1795,877,1828,924,False,False,,1518531571652000_4848727000.jpg
6.7,1792,929,1835,975,False,False,,1518531571652000_4848727000.jpg
5.14,1323,978,1335,990,False,False,,1518531571652000_4848727000.jpg
3.1,1248,927,1257,937,False,False,,1518531571652000_4848727000.jpg
8.14,1246,938,1258,944,False,False,,1518531571652000_4848727000.jpg
6.7,2171,976,2176,997,False,True,,1518531571652000_4848727000.jpg
3.1,1243,972,1249,977,False,False,,1518531571652000_4848727000.jpg
6.7,2357,964,2369,992,False,False,,1518531572652000_4849726000.jpg
6.7,2022,886,2082,955,False,False,,1518531572652000_4849726000.jpg
5.16,2028,811,2072,880,False,False,,1518531572652000_4849726000.jpg
5.14,1304,970,1316,983,False,False,,1518531572652000_4849726000.jpg
3.1,1221,915,1232,926,False,False,,1518531572652000_4849726000.jpg
8.14,1221,928,1232,933,False,False,,1518531572652000_4849726000.jpg
3.1,1216,964,1223,970,False,False,,1518531572652000_4849726000.jpg
8.14,1216,971,1223,974,False,False,,1518531572652000_4849726000.jpg
5.16,405,955,419,975,False,False,,1518531572652000_4849726000.jpg
5.14,1325,960,1339,976,False,False,,1518531573652000_4850726000.jpg
5.16,291,942,308,965,False,False,,1518531573652000_4850726000.jpg
3.1,1235,902,1246,913,False,False,,1518531573652000_4850726000.jpg
8.14,1234,915,1247,920,False,False,,1518531573652000_4850726000.jpg
3.1,1231,956,1237,962,False,False,,1518531573652000_4850726000.jpg
8.14,1231,963,1237,966,False,False,,1518531573652000_4850726000.jpg
5.16,2095,986,2104,1004,False,False,,1518531573652000_4850726000.jpg
8.14,1242,972,1248,975,False,False,,1518531574552000_4851626000.jpg
3.1,1243,966,1248,971,False,False,,1518531574552000_4851626000.jpg
3.1,1248,907,1258,918,False,False,,1518531574552000_4851626000.jpg
8.14,1247,920,1259,925,False,False,,1518531574552000_4851626000.jpg
5.14,1346,968,1362,983,False,False,,1518531574552000_4851626000.jpg
5.16,156,944,175,970,False,False,,1518531574552000_4851626000.jpg
5.16,2202,996,2212,1016,False,False,,1518531574552000_4851626000.jpg
5.2,2187,1003,2197,1016,False,False,,1518531574552000_4851626000.jpg
3.24,2175,996,2192,1012,False,True,20.0,1518531574552000_4851626000.jpg
6.13,1617,984,1629,994,False,False,18.0,1518531574552000_4851626000.jpg
6.13,1692,978,1709,991,False,False,18.0,1518531575452000_4852526000.jpg
8.14,1246,970,1252,973,False,False,,1518531575452000_4852526000.jpg
3.1,1246,963,1252,969,False,False,,1518531575452000_4852526000.jpg
8.14,1251,913,1264,919,False,False,,1518531575452000_4852526000.jpg
3.1,1251,898,1264,911,False,False,,1518531575452000_4852526000.jpg
5.14,1360,964,1379,981,False,False,,1518531575452000_4852526000.jpg
5.2,2304,1000,2318,1016,False,False,,1518531575452000_4852526000.jpg
5.16,2323,992,2335,1014,False,False,,1518531575452000_4852526000.jpg
3.24,2291,993,2309,1011,False,True,20.0,1518531575452000_4852526000.jpg
3.32,2285,977,2303,994,False,False,,1518531575452000_4852526000.jpg
3.1,1224,886,1237,900,False,False,,1518531576418000_4853493000.jpg
6.13,1774,970,1796,986,False,False,18.0,1518531576418000_4853493000.jpg
5.14,1346,956,1367,976,False,False,,1518531576418000_4853493000.jpg
3.1,1218,959,1224,966,False,False,,1518531576418000_4853493000.jpg
8.14,1218,967,1224,970,False,False,,1518531576418000_4853493000.jpg
8.14,1223,902,1238,909,False,False,,1518531576418000_4853493000.jpg
5.14,1259,997,1265,1003,False,False,,1518531576418000_4853493000.jpg
8.14,1195,953,1202,956,False,False,,1518531577251000_4854326000.jpg
3.1,1195,944,1202,952,False,False,,1518531577251000_4854326000.jpg
8.14,1200,881,1216,888,False,False,,1518531577251000_4854326000.jpg
3.1,1200,863,1215,879,False,False,,1518531577251000_4854326000.jpg
5.14,1336,938,1359,960,False,False,,1518531577251000_4854326000.jpg
6.13,1891,950,1916,969,False,False,18.0,1518531577251000_4854326000.jpg
5.14,1236,983,1243,990,False,False,,1518531577251000_4854326000.jpg
8.14,1175,955,1182,958,False,False,,1518531578418000_4855492000.jpg
3.1,1175,946,1182,954,False,False,,1518531578418000_4855492000.jpg
8.14,1175,873,1193,880,False,False,,1518531578418000_4855492000.jpg
3.1,1175,852,1194,871,False,False,,1518531578418000_4855492000.jpg
5.14,1332,932,1359,960,False,False,,1518531578418000_4855492000.jpg
6.13,2188,927,2224,957,False,False,18.0,1518531578418000_4855492000.jpg
5.14,1219,987,1226,995,False,False,,1518531578418000_4855492000.jpg
4.1.1,1262,980,1270,992,False,True,,1518531578418000_4855492000.jpg
3.1,1147,937,1154,945,False,False,,1518531579351000_4856425000.jpg
8.14,1147,946,1154,949,False,False,,1518531579351000_4856425000.jpg
8.14,1144,853,1164,863,False,False,,1518531579351000_4856425000.jpg
3.1,1144,832,1164,851,False,False,,1518531579351000_4856425000.jpg
5.14,1318,916,1349,947,False,False,,1518531579351000_4856425000.jpg
5.14,1192,979,1200,988,False,False,,1518531579351000_4856425000.jpg
4.1.1,1238,972,1247,984,False,True,,1518531579351000_4856425000.jpg
8.14,955,954,963,957,False,False,,1518531580251000_4857325000.jpg
3.1,955,945,963,952,False,False,,1518531580251000_4857325000.jpg
8.14,943,851,965,860,False,False,,1518531580251000_4857325000.jpg
3.1,944,827,965,849,False,False,,1518531580251000_4857325000.jpg
5.14,1133,919,1167,953,False,False,,1518531580251000_4857325000.jpg
5.14,1002,989,1009,997,False,False,,1518531580251000_4857325000.jpg
4.1.1,1049,982,1057,994,False,True,,1518531580251000_4857325000.jpg
8.14,445,811,469,821,False,False,,1518531581184000_4858258000.jpg
3.1,445,784,470,809,False,False,,1518531581184000_4858258000.jpg
8.14,490,931,498,934,False,False,,1518531581184000_4858258000.jpg
3.1,490,921,498,929,False,False,,1518531581184000_4858258000.jpg
5.14,642,885,683,925,False,False,,1518531581184000_4858258000.jpg
3.1,2411,966,2437,996,False,False,,1518531581184000_4858258000.jpg
5.14,539,967,546,977,False,False,,1518531581184000_4858258000.jpg
4.1.1,577,960,592,974,False,False,,1518531581184000_4858258000.jpg
3.1,1657,862,1683,893,False,False,,1518531582317000_4859392000.jpg
5.16,1967,860,1998,907,False,False,,1518531582317000_4859392000.jpg
5.2,1914,875,1949,910,False,False,,1518531582317000_4859392000.jpg
,1961,799,2009,838,False,False,,1518531582317000_4859392000.jpg
3.24,1871,861,1905,898,False,False,20,1518531582317000_4859392000.jpg
3.13,1831,862,1868,899,False,False,"4,5 м",1518531582317000_4859392000.jpg
3.32,1849,828,1888,866,False,False,,1518531582317000_4859392000.jpg
3.32,1079,811,1121,852,False,False,,1518531583284000_4860358000.jpg
3.13,1058,848,1101,891,False,False,"4,5 м",1518531583284000_4860358000.jpg
3.24,1104,849,1140,890,False,False,20,1518531583284000_4860358000.jpg
,1203,778,1254,822,False,False,,1518531583284000_4860358000.jpg
3.1,864,854,891,889,False,False,,1518531583284000_4860358000.jpg
5.16,1211,848,1244,900,False,False,,1518531583284000_4860358000.jpg
5.2,1151,863,1190,903,False,False,,1518531583284000_4860358000.jpg
2.1,1916,830,1928,847,False,False,,1518531583284000_4860358000.jpg
3.4,1916,848,1928,864,False,False,"3,5 т",1518531583284000_4860358000.jpg
5.31,1918,866,1927,886,False,False,20,1518531583284000_4860358000.jpg
3.13,451,803,504,854,False,False,"4,5 м",1518531584217000_4861291000.jpg
3.24,509,803,556,853,False,False,20,1518531584217000_4861291000.jpg
3.32,478,756,531,808,False,False,,1518531584217000_4861291000.jpg
,635,717,697,771,False,False,,1518531584217000_4861291000.jpg
5.16,644,803,684,868,False,False,,1518531584217000_4861291000.jpg
3.1,225,809,255,849,False,False,,1518531584217000_4861291000.jpg
5.2,568,822,617,870,False,False,,1518531584217000_4861291000.jpg
2.1,1444,822,1458,842,False,False,,1518531584217000_4861291000.jpg
3.4,1445,842,1457,860,False,False,"3,5 т",1518531584217000_4861291000.jpg
5.31,1446,861,1456,882,False,False,20,1518531584217000_4861291000.jpg
,0,648,70,723,False,True,,1518531585150000_4862225000.jpg
5.16,0,763,50,854,False,True,,1518531585150000_4862225000.jpg
2.1,1067,858,1082,879,False,False,,1518531585150000_4862225000.jpg
3.4,1068,879,1081,898,False,False,"3,5 т",1518531585150000_4862225000.jpg
5.31,1068,899,1080,922,False,False,20,1518531585150000_4862225000.jpg
2.1,732,846,749,869,False,False,,1518531586083000_4863158000.jpg
5.31,735,892,746,917,False,False,20,1518531586083000_4863158000.jpg
3.4,735,872,747,892,False,False,"3,5 т",1518531586083000_4863158000.jpg
3.4,501,868,515,889,False,False,"3,5 т",1518531587250000_4864324000.jpg
2.1,499,839,517,865,False,False,,1518531587250000_4864324000.jpg
5.31,502,891,514,918,False,False,20,1518531587250000_4864324000.jpg
5.31,345,885,360,914,False,False,20,1518531588150000_4865224000.jpg
3.4,344,860,362,883,False,False,"3,5 т",1518531588150000_4865224000.jpg
2.1,342,828,363,858,False,False,,1518531588150000_4865224000.jpg
3.4,216,853,236,880,False,False,"3,5 т",1518531589249000_4866324000.jpg
2.1,214,816,235,852,False,False,,1518531589249000_4866324000.jpg
5.31,217,882,235,916,False,False,20,1518531589249000_4866324000.jpg
2.1,757,605,856,699,False,False,,1518531598181000_4875256000.jpg
3.4,774,700,844,772,False,False,"3,5 т",1518531598181000_4875256000.jpg
5.31,784,775,838,860,False,False,20,1518531598181000_4875256000.jpg
5.31,1530,747,1590,842,False,False,20,1518531599181000_4876256000.jpg
3.4,1521,664,1597,741,False,False,"3,5 т",1518531599181000_4876256000.jpg
2.1,1506,558,1609,663,False,False,,1518531599181000_4876256000.jpg
5.31,1870,689,1942,802,False,False,20,1518531600014000_4877089000.jpg
3.4,1858,589,1952,682,False,False,"3,5 т",1518531600014000_4877089000.jpg
2.1,1843,462,1966,585,False,False,,1518531600014000_4877089000.jpg
5.31,2143,639,2236,780,False,False,20,1518531600848000_4877922000.jpg
3.4,2130,509,2250,629,False,False,"3,5 т",1518531600848000_4877922000.jpg
2.1,2112,346,2270,504,False,False,,1518531600848000_4877922000.jpg
6.4,765,956,772,979,False,False,,1518531605814000_4882888000.jpg
6.4,848,934,855,959,False,False,,1518531606947000_4884021000.jpg
6.4,780,944,788,972,False,False,,1518531608080000_4885154000.jpg
6.4,683,896,693,929,False,False,,1518531609013000_4886088000.jpg
6.4,550,869,563,910,False,False,,1518531610180000_4887254000.jpg
6.4,423,821,446,877,False,False,,1518531611279000_4888354000.jpg
6.4,0,852,27,930,False,True,,1518531612413000_4889487000.jpg
3.27,786,916,795,976,False,False,,1518531618978000_4896053000.jpg
3.27,594,874,607,949,False,False,,1518531619978000_4897053000.jpg
3.27,355,814,382,911,False,False,,1518531620878000_4897952000.jpg
2.1,1882,976,1902,996,False,False,,1518531624977000_4902052000.jpg
5.20,2071,953,2091,972,False,False,,1518531624977000_4902052000.jpg
5.20,2171,933,2201,962,False,False,,1518531624977000_4902052000.jpg
3.27,2167,968,2201,1001,False,False,,1518531624977000_4902052000.jpg
1.17,2262,889,2308,933,False,False,,1518531624977000_4902052000.jpg
8.2.1,2261,934,2304,955,False,False,400 м,1518531624977000_4902052000.jpg
1.17,1904,892,1952,939,False,False,,1518531625811000_4902885000.jpg
5.20,1802,940,1832,971,False,False,,1518531625811000_4902885000.jpg
8.2.1,1907,941,1949,963,False,False,400 м,1518531625811000_4902885000.jpg
2.1,1505,984,1525,1004,False,False,,1518531625811000_4902885000.jpg
3.27,1798,976,1833,1009,False,False,,1518531625811000_4902885000.jpg
5.20,1693,962,1713,981,False,False,,1518531625811000_4902885000.jpg
8.2.1,1705,925,1751,950,False,False,400 м,1518531626877000_4903952000.jpg
1.17,1703,873,1753,924,False,False,,1518531626877000_4903952000.jpg
3.27,1575,966,1610,1000,False,False,,1518531626877000_4903952000.jpg
5.20,1579,927,1610,960,False,False,,1518531626877000_4903952000.jpg
5.20,1456,950,1477,971,False,False,,1518531626877000_4903952000.jpg
2.1,1261,975,1281,995,False,False,,1518531626877000_4903952000.jpg
1.17,1672,855,1728,912,False,False,,1518531627844000_4904918000.jpg
